Ticket_ID,Order_ID,Customer_ID,Reported_Time,Issue_Type,Channel,Region,Customer_Segment,Priority,Agent_ID,Team,Backlog_At_Report,First_Response_Time,Resolution_Time,Response_Minutes,Resolution_Minutes,Handle_Minutes,Escalation_Flag,First_Contact_Resolution_Flag,Outcome,Repeat_Contact_Flag,Sentiment_Score,Customer_Effort_Score,CSAT_Score
TCK-0ISMBBKJ,ORD-Y8Q798NHIH,C-HW64RX2,2025-10-12 00:42:00,Return request,Email,DE-South,B2C,Low,AG-114,Service-L1,20,2025-10-12 01:24:00,2025-10-12 02:34:00,42,112,28,0,1,Resolved,0,-0.368,3,3
TCK-6109BY4G,ORD-OH7Q3JV0MJ,C-DWOHLLE,2025-10-12 01:41:00,Late status update,Email,DE-West,B2C,Medium,AG-149,Service-L1,13,2025-10-12 01:53:00,2025-10-12 03:37:00,12,116,54,0,1,Resolved,0,-0.651,3,3
TCK-KCSCQ4UJ,ORD-HUS6GQQNGN,C-TGLS7RM,2025-10-12 07:21:00,Late status update,Web form,DE-South,Enterprise,Low,AG-116,Service-L2,17,2025-10-12 07:45:00,2025-10-12 08:57:00,24,96,54,0,1,Resolved,0,0.596,3,4
TCK-YORSHJ44,ORD-ZYSUXAP8HQ,C-CJ3B225,2025-10-12 08:42:00,Late status update,Email,DE-North,B2C,Medium,AG-142,Billing,22,2025-10-12 09:10:00,2025-10-12 11:05:00,28,143,48,0,1,Resolved,0,-0.085,3,3
TCK-4FL49N8B,ORD-8HB1F1AEMD,C-QM0R84G,2025-10-12 11:10:00,Billing dispute,Email,DE-North,B2C,Medium,AG-101,Service-L2,15,2025-10-12 12:12:00,2025-10-12 14:45:00,62,215,135,0,1,Resolved,0,0.03,3,4
TCK-JKQN20EI,ORD-ALDZ29HB1O,C-7OLC8SP,2025-10-12 22:19:00,Address change,Email,DE-North,B2C,Low,AG-119,Service-L2,18,2025-10-12 22:34:00,2025-10-12 23:56:00,15,97,57,0,1,Resolved,1,-0.8,4,2
TCK-60DZO03K,ORD-D8P7Y03WQB,C-ZPS7E1B,2025-10-12 23:39:00,Address change,Email,DE-South,B2C,Medium,AG-107,TechSupport,18,2025-10-13 00:26:00,2025-10-13 01:29:00,47,110,31,0,1,Resolved,0,0.401,3,4
TCK-TD3LWNT8,ORD-FTXT7O6Y8D,C-HK6AJZ9,2025-10-12 23:44:00,Late status update,Web form,AT,B2C,Medium,AG-134,TechSupport,14,2025-10-12 23:56:00,2025-10-13 00:47:00,12,63,32,0,1,Resolved,0,-0.129,3,3
TCK-A7R2UYI1,ORD-FJBOSK6DUI,C-V2ZCIV9,2025-10-13 01:20:00,Address change,Email,DE-North,B2C,Low,AG-139,Service-L2,20,2025-10-13 01:43:00,2025-10-13 03:33:00,23,133,32,0,1,Resolved,0,0.257,3,4
TCK-FZXF58H8,ORD-OR93FPSMHL,C-ZATPALW,2025-10-13 03:09:00,Return request,Phone,DE-North,Enterprise,Critical,AG-103,Returns,15,2025-10-13 03:16:00,2025-10-13 04:22:00,7,73,44,0,0,Resolved,1,-0.291,4,3
TCK-YPS359NY,ORD-T4IQJ2ZADF,C-V1MCVWP,2025-10-13 10:30:00,Wrong item,WhatsApp,DE-North,B2C,Medium,AG-111,Service-L1,20,2025-10-13 10:58:00,2025-10-13 12:22:00,28,112,58,0,1,Resolved,0,-0.018,3,3
TCK-V1KFLF16,ORD-XHE1UF9189,C-277FMTW,2025-10-13 12:21:00,Wrong item,Email,CH,B2C,Low,AG-127,Returns,19,2025-10-13 12:42:00,2025-10-13 16:19:00,21,238,92,1,1,Resolved,0,-0.29,4,3
TCK-SFKS7DR2,ORD-8HE79RB7N6,C-W3F2HO4,2025-10-13 13:53:00,Damaged item,Phone,DE-North,B2C,High,AG-149,Service-L1,18,2025-10-13 14:01:00,2025-10-13 15:37:00,8,104,62,0,1,Resolved,0,-0.174,3,3
TCK-UFW2PVJJ,ORD-PSQDAMZ0IJ,C-SGV6HVZ,2025-10-13 13:58:00,Missing item,Chat,DE-West,SMB,Medium,AG-112,Service-L1,25,2025-10-13 14:21:00,2025-10-13 18:19:00,23,261,178,1,0,Resolved,0,0.648,4,4
TCK-LWDP2ZWJ,ORD-PQWOY7GX2N,C-R9BTF27,2025-10-13 15:14:00,Delivery instruction,Email,DE-West,SMB,Medium,AG-153,Service-L2,21,2025-10-13 15:51:00,2025-10-13 17:36:00,37,142,34,0,0,Unresolved,0,0.206,4,3
TCK-B3J032AV,ORD-4WVP3TMRQG,C-Y4XAO1E,2025-10-13 16:43:00,Wrong item,Web form,DE-West,B2C,Medium,AG-150,Service-L1,26,2025-10-13 16:59:00,2025-10-13 18:27:00,16,104,54,0,1,Resolved,0,-0.166,3,3
TCK-E9I4IVNB,ORD-23J1R9BNIW,C-24TN2DJ,2025-10-13 18:07:00,Late status update,Phone,CH,B2C,Medium,AG-145,Service-L1,15,2025-10-13 18:28:00,2025-10-13 19:43:00,21,96,39,1,1,Resolved,0,-0.343,4,3
TCK-8NSSDJX7,ORD-CMSOJGLCKC,C-5XRLYM4,2025-10-13 18:38:00,Missing item,Chat,DE-North,B2C,Medium,AG-124,Billing,22,2025-10-13 19:15:00,2025-10-13 21:06:00,37,148,78,0,0,Partially resolved,1,0.222,4,3
TCK-J8WJZLJA,ORD-16W7AIR88N,C-JPR7G20,2025-10-13 20:08:00,Billing dispute,Email,DE-West,B2C,High,AG-102,Service-L1,12,2025-10-13 20:19:00,2025-10-13 21:45:00,11,97,62,0,1,Resolved,0,-0.424,3,3
TCK-T3UM729K,ORD-RQ4WTS6MEG,C-ID9T2QS,2025-10-14 01:18:00,Product info,Phone,AT,B2C,Medium,AG-118,Service-L1,19,2025-10-14 01:53:00,2025-10-14 03:09:00,35,111,41,0,1,Resolved,0,-0.041,3,3
TCK-6UWV2NA9,ORD-2EEIXEARAJ,C-NHAJILO,2025-10-14 03:41:00,Delivery instruction,Web form,DE-South,Enterprise,Medium,AG-101,Service-L1,11,2025-10-14 04:03:00,2025-10-14 04:54:00,22,73,18,0,0,Resolved,0,0.128,3,4
TCK-B3DIWMLU,ORD-H2H43TB2BS,C-PCW0VOS,2025-10-14 08:01:00,Damaged item,Chat,DE-West,Enterprise,Medium,AG-126,Service-L1,18,2025-10-14 08:10:00,2025-10-14 09:51:00,9,110,64,0,1,Resolved,0,-0.273,3,3
TCK-0IK4H4TA,ORD-QTENRR7N6K,C-0FV03B0,2025-10-14 08:02:00,Return request,WhatsApp,DE-North,B2C,Medium,AG-148,Billing,21,2025-10-14 08:41:00,2025-10-14 11:36:00,39,214,112,0,0,Resolved,1,0.126,4,3
TCK-86I0MX1E,ORD-IHJBEOPCU7,C-UMZPGRA,2025-10-14 17:04:00,Delivery instruction,Chat,DE-South,B2C,Low,AG-141,Service-L2,18,2025-10-14 17:30:00,2025-10-14 18:23:00,26,79,39,0,1,Resolved,0,0.351,3,4
TCK-WOCF2N2W,ORD-AMVIE9LXP9,C-IBXY4DG,2025-10-14 19:05:00,Delivery instruction,Chat,DE-South,B2C,Medium,AG-106,Service-L1,24,2025-10-14 19:14:00,2025-10-14 20:49:00,9,104,62,0,1,Resolved,0,0.312,3,4
TCK-ACI5GKUZ,ORD-XLMA2NKHRF,C-LDGSLD5,2025-10-14 20:09:00,Address change,Web form,DE-North,SMB,High,AG-119,Billing,15,2025-10-14 20:41:00,2025-10-14 22:15:00,32,126,33,0,1,Resolved,0,-0.044,3,3
TCK-TYW3NXHI,ORD-JOKVBLV22P,C-WA7X2DO,2025-10-14 21:16:00,Billing dispute,Web form,DE-West,B2C,Medium,AG-132,TechSupport,7,2025-10-14 21:33:00,2025-10-14 23:59:00,17,163,110,0,1,Resolved,0,-0.153,3,3
TCK-DX621RG2,ORD-L28OO80GEF,C-63F39XM,2025-10-15 04:42:00,Late status update,Web form,AT,B2C,Medium,AG-150,Service-L1,27,2025-10-15 05:04:00,2025-10-15 07:15:00,22,153,95,0,1,Resolved,0,0.694,3,4
TCK-RO16P7J9,ORD-SYNJE5MZQS,C-HGMYTAZ,2025-10-15 07:50:00,Late status update,Email,AT,B2C,Low,AG-107,TechSupport,12,2025-10-15 08:09:00,2025-10-15 10:14:00,19,144,87,0,1,Resolved,0,-0.375,3,3
TCK-STSAPGA2,ORD-GR0ULST2DU,C-IJ1SU16,2025-10-15 10:38:00,Billing dispute,Web form,DE-North,B2C,Medium,AG-150,Service-L1,18,2025-10-15 10:55:00,2025-10-15 11:54:00,17,76,46,0,1,Resolved,0,-0.026,3,3
TCK-155EJBYX,ORD-MOXZI4MWGE,C-60ZBBFH,2025-10-15 19:44:00,Account access,Chat,DE-North,B2C,Critical,AG-102,Returns,15,2025-10-15 19:50:00,2025-10-15 21:58:00,6,134,64,0,1,Resolved,0,-0.895,3,3
TCK-1BZWRXSG,ORD-ZEL4USZRNT,C-AMB96XF,2025-10-15 19:51:00,Account access,Email,DE-South,B2C,Low,AG-130,Billing,25,2025-10-15 20:38:00,2025-10-15 21:51:00,47,120,29,0,1,Resolved,0,0.288,3,4
TCK-75Y054R7,ORD-8HHWTPRHPV,C-1ZDHR1J,2025-10-15 20:09:00,Return request,Web form,DE-West,B2C,Medium,AG-154,Returns,22,2025-10-15 20:17:00,2025-10-15 21:54:00,8,105,47,0,0,Resolved,0,-0.041,3,3
TCK-MQN5NYGT,ORD-J6N8UMT7Y3,C-UWF3XXK,2025-10-15 21:34:00,Address change,Chat,DE-South,B2C,Medium,AG-121,Service-L1,19,2025-10-15 21:43:00,2025-10-15 23:33:00,9,119,73,0,1,Resolved,0,-0.056,3,3
TCK-LBQ6TW1W,ORD-8803FJZU51,C-LGXDRJO,2025-10-15 21:57:00,Product info,Web form,AT,B2C,High,AG-142,Service-L2,16,2025-10-15 22:23:00,2025-10-15 23:20:00,26,83,33,0,0,Resolved,0,-0.38,3,3
TCK-F6XUEO8A,ORD-PC9D840BZR,C-RFS2E5P,2025-10-16 02:25:00,Return request,WhatsApp,DE-East,B2C,Medium,AG-121,Service-L1,20,2025-10-16 02:41:00,2025-10-16 04:38:00,16,133,93,0,1,Resolved,0,0.288,3,4
TCK-KF4T8VJE,ORD-6JFTZUB2YL,C-7R1DL1Y,2025-10-16 05:01:00,Missing item,Email,CH,B2C,Medium,AG-144,Service-L1,18,2025-10-16 05:44:00,2025-10-16 08:09:00,43,188,80,0,1,Resolved,1,-0.27,4,3
TCK-4LG0MGP3,ORD-5UA1V68L43,C-JNNMNDI,2025-10-16 05:37:00,Wrong item,Email,CH,SMB,High,AG-131,Service-L1,17,2025-10-16 06:11:00,2025-10-16 08:11:00,34,154,59,0,0,Partially resolved,0,-0.499,3,3
TCK-6FXVXGFD,ORD-9NXUICA4E8,C-N0E2JNS,2025-10-16 15:20:00,Delivery instruction,Chat,DE-North,B2C,Medium,AG-110,Service-L1,23,2025-10-16 15:44:00,2025-10-16 16:41:00,24,81,30,0,1,Resolved,0,0.608,3,4
TCK-TEUWEMJT,ORD-C9O7B16PNW,C-LI6XRQ2,2025-10-16 15:33:00,Damaged item,Web form,DE-West,B2C,Low,AG-144,Service-L2,18,2025-10-16 16:14:00,2025-10-16 17:08:00,41,95,32,0,1,Resolved,1,-0.42,4,3
TCK-SHSAJDOB,ORD-AKIVT1XZ5O,C-L9F0XB4,2025-10-16 15:45:00,Return request,Email,DE-North,B2C,Critical,AG-111,TechSupport,17,2025-10-16 16:07:00,2025-10-16 19:44:00,22,239,98,1,0,Resolved,0,-0.49,4,3
TCK-XJYJT7WJ,ORD-SP8KKXEV8S,C-JQTFEEK,2025-10-16 16:38:00,Delivery instruction,Chat,DE-West,B2C,Low,AG-153,Service-L1,19,2025-10-16 17:12:00,2025-10-16 18:19:00,34,101,48,0,0,Resolved,0,0.575,3,4
TCK-K82YK0R2,ORD-N5YQU2T8A6,C-ZR4FMZ3,2025-10-16 16:47:00,Delivery instruction,WhatsApp,DE-South,Enterprise,Low,AG-107,Service-L1,20,2025-10-16 16:55:00,2025-10-16 18:15:00,8,88,60,0,1,Resolved,0,-0.299,3,3
TCK-4003775L,ORD-7DG5T8LCF5,C-3PXB7KH,2025-10-16 23:09:00,Product info,Email,AT,SMB,Medium,AG-126,Returns,8,2025-10-16 23:27:00,2025-10-17 00:38:00,18,89,30,0,1,Resolved,0,0.47,3,4
TCK-80NW1MRD,ORD-F2LZPZKDYJ,C-HQR6ZPP,2025-10-16 23:14:00,Wrong item,Chat,DE-West,B2C,Medium,AG-127,Billing,19,2025-10-16 23:23:00,2025-10-17 01:28:00,9,134,58,1,0,Resolved,1,-0.116,5,3
TCK-DTJRTIUE,ORD-SVCOCP5TZ1,C-E9ZD3OG,2025-10-17 01:24:00,Wrong item,WhatsApp,DE-West,B2C,Low,AG-143,Service-L1,15,2025-10-17 03:04:00,2025-10-17 03:50:00,100,146,27,0,0,Resolved,0,0.616,3,4
TCK-WXHWTWGR,ORD-4WIM5BRSPA,C-D4QKQBC,2025-10-17 04:01:00,Delivery instruction,Phone,DE-West,SMB,High,AG-130,TechSupport,24,2025-10-17 04:19:00,2025-10-17 07:00:00,18,179,135,0,1,Resolved,0,-0.457,3,3
TCK-KOY8MPOH,ORD-M2GRKU1ERG,C-XYHIKL6,2025-10-17 06:05:00,Damaged item,Email,CH,B2C,Medium,AG-133,TechSupport,20,2025-10-17 08:10:00,2025-10-17 10:16:00,125,251,66,0,1,Resolved,0,-0.062,4,3
TCK-GDZ0XJR1,ORD-X6D1AWTCPY,C-5CS2E67,2025-10-17 18:04:00,Missing item,Email,DE-South,B2C,Low,AG-112,Service-L1,27,2025-10-17 18:52:00,2025-10-17 20:39:00,48,155,75,0,1,Resolved,0,-0.429,3,3
TCK-52OQHQ8D,ORD-OH4KRBYS2Z,C-0JJVB7Z,2025-10-17 21:27:00,Billing dispute,Email,DE-South,SMB,Low,AG-105,Service-L1,12,2025-10-17 22:28:00,2025-10-18 01:52:00,61,265,147,0,1,Resolved,0,-0.335,4,3
TCK-91MB9J4E,ORD-XM6KDH39XY,C-KJD9BWM,2025-10-17 23:28:00,Billing dispute,Web form,DE-East,SMB,High,AG-130,Billing,20,2025-10-17 23:42:00,2025-10-18 02:15:00,14,167,128,0,1,Resolved,0,-0.118,3,3
TCK-7E410VD8,ORD-D20LYO1B7N,C-2Q3KTAR,2025-10-18 00:01:00,Product info,Chat,DE-West,B2C,Medium,AG-101,Service-L1,12,2025-10-18 00:08:00,2025-10-18 01:03:00,7,62,25,0,1,Resolved,0,0.769,3,4
TCK-SKCWZZO4,ORD-AEATSISAB8,C-5CXST4X,2025-10-18 01:23:00,Product info,Email,DE-West,B2C,Medium,AG-152,Service-L1,24,2025-10-18 02:31:00,2025-10-18 04:40:00,68,197,34,0,1,Resolved,0,-0.308,3,3
TCK-8AL5C2BX,ORD-2INIZTVLV8,C-28ISNM2,2025-10-18 03:11:00,Damaged item,Web form,DE-North,B2C,Medium,AG-128,Service-L2,11,2025-10-18 03:29:00,2025-10-18 05:46:00,18,155,75,0,0,Resolved,0,0.546,3,4
TCK-PTFHVGFH,ORD-76EUOBJXA8,C-KM8FERL,2025-10-18 03:42:00,Late status update,Email,DE-South,B2C,High,AG-137,Service-L1,16,2025-10-18 03:56:00,2025-10-18 05:35:00,14,113,73,0,1,Resolved,0,0.173,3,4
TCK-T3YQF75R,ORD-BYOONJFXSP,C-1SFJUXW,2025-10-18 13:09:00,Wrong item,Chat,DE-West,B2C,High,AG-134,Returns,16,2025-10-18 13:32:00,2025-10-18 15:34:00,23,145,99,0,1,Resolved,0,-0.271,3,3
TCK-RRFKUCYF,ORD-P8DBPG0A44,C-2PKXSPM,2025-10-18 14:24:00,Return request,Web form,CH,B2C,High,AG-101,Returns,27,2025-10-18 14:29:00,2025-10-18 16:59:00,5,155,61,0,1,Resolved,0,0.001,3,4
TCK-7VCGU9M1,ORD-P5CR6JJAFJ,C-ZHOHV5X,2025-10-18 15:03:00,Address change,WhatsApp,CH,SMB,Low,AG-111,Service-L1,19,2025-10-18 15:41:00,2025-10-18 17:33:00,38,150,86,0,1,Resolved,0,0.557,3,4
TCK-T3K3OSJS,ORD-9X2LLKVW2B,C-05TBKAG,2025-10-18 22:33:00,Product info,WhatsApp,DE-South,B2C,Low,AG-126,Service-L2,19,2025-10-18 22:49:00,2025-10-18 23:41:00,16,68,33,0,1,Resolved,0,-0.05,3,3
TCK-92CGXGPF,ORD-DRT4AMCTFL,C-8XYVHY8,2025-10-19 01:58:00,Account access,Web form,CH,SMB,High,AG-145,Service-L1,15,2025-10-19 02:13:00,2025-10-19 04:22:00,15,144,72,1,0,Unresolved,0,-0.087,4,3
TCK-GPYY01IJ,ORD-AYHJ8XVXVZ,C-KCCANFE,2025-10-19 02:27:00,Return request,Phone,DE-South,SMB,Medium,AG-103,TechSupport,20,2025-10-19 02:38:00,2025-10-19 03:53:00,11,86,57,0,1,Resolved,0,0.228,3,4
TCK-J1NXULOD,ORD-G4LXDUNSKC,C-LIEZKO6,2025-10-19 05:59:00,Address change,WhatsApp,DE-South,B2C,Medium,AG-102,Service-L1,16,2025-10-19 06:15:00,2025-10-19 07:24:00,16,85,19,0,1,Resolved,0,0.26,3,4
TCK-BZVXSBQ4,ORD-VBE6TFZ75X,C-3DQ3MF5,2025-10-19 17:33:00,Wrong item,Phone,DE-East,B2C,High,AG-118,Service-L1,18,2025-10-19 17:52:00,2025-10-19 19:45:00,19,132,50,0,1,Resolved,0,-0.211,3,3
TCK-8E4903G9,ORD-R86F27CM1F,C-6J3FS7H,2025-10-19 22:59:00,Wrong item,Web form,DE-North,B2C,Medium,AG-117,TechSupport,20,2025-10-20 00:13:00,2025-10-20 03:53:00,74,294,157,1,0,Resolved,0,0.132,5,3
TCK-6N9O03NP,ORD-NMO4C92UXK,C-15NRHJ4,2025-10-19 23:15:00,Missing item,WhatsApp,DE-North,SMB,Low,AG-125,TechSupport,23,2025-10-20 00:00:00,2025-10-20 01:24:00,45,129,54,0,0,Resolved,0,-0.274,3,3
TCK-CT097DN9,ORD-T8JA8JUMU7,C-85J3AO7,2025-10-20 00:47:00,Return request,Chat,DE-South,B2C,Low,AG-150,Service-L2,11,2025-10-20 00:59:00,2025-10-20 03:25:00,12,158,111,0,1,Resolved,0,-0.773,3,3
TCK-13KLR6FY,ORD-VQU5H5M25G,C-59KAE9A,2025-10-20 07:03:00,Wrong item,Email,DE-West,B2C,High,AG-109,Service-L1,25,2025-10-20 07:19:00,2025-10-20 08:44:00,16,101,21,0,0,Resolved,0,-0.117,3,3
TCK-RS8R9WH4,ORD-H9QI8LOMYA,C-NF3AVJQ,2025-10-20 09:51:00,Address change,Email,DE-South,SMB,Low,AG-120,Service-L1,21,2025-10-20 11:47:00,2025-10-20 13:57:00,116,246,69,0,0,Resolved,1,-0.033,5,3
TCK-BCZRER7O,ORD-UPSB5UMKG7,C-4NVTHB0,2025-10-20 11:33:00,Return request,Chat,DE-South,B2C,Medium,AG-134,Service-L2,17,2025-10-20 11:44:00,2025-10-20 12:57:00,11,84,58,0,0,Resolved,1,0.359,4,3
TCK-2IM0HB96,ORD-LKQH25ZO47,C-GYG92O0,2025-10-20 13:59:00,Late status update,Web form,DE-South,B2C,Medium,AG-152,Service-L1,19,2025-10-20 14:27:00,2025-10-20 16:33:00,28,154,54,0,1,Resolved,0,-0.199,3,3
TCK-9T6E0V5M,ORD-Q3JN4XRA1O,C-INE428Y,2025-10-20 15:15:00,Late status update,WhatsApp,CH,B2C,Medium,AG-106,Service-L1,19,2025-10-20 15:56:00,2025-10-20 16:55:00,41,100,39,0,1,Resolved,0,0.56,3,4
TCK-DTTOW5LC,ORD-H5V1OLYU6F,C-MY6Q2DX,2025-10-20 18:22:00,Late status update,Chat,DE-East,B2C,High,AG-122,Service-L1,25,2025-10-20 18:30:00,2025-10-20 21:35:00,8,193,158,0,0,Resolved,0,-0.404,3,3
TCK-M8OPT491,ORD-TZW881HUPI,C-2HZRPZ0,2025-10-20 18:59:00,Account access,Web form,DE-East,SMB,Low,AG-134,TechSupport,12,2025-10-20 19:49:00,2025-10-20 21:26:00,50,147,78,1,0,Resolved,1,-0.668,5,2
TCK-3UFI75HM,ORD-WKH5EWOQ50,C-1A32AI0,2025-10-20 19:37:00,Damaged item,Chat,DE-North,B2C,Medium,AG-151,Service-L1,26,2025-10-20 19:50:00,2025-10-20 22:11:00,13,154,87,0,0,Resolved,0,0.426,3,4
TCK-YHEAL2SI,ORD-RTHQ7Q90E7,C-YPGXGQF,2025-10-20 20:42:00,Delivery instruction,Phone,DE-South,SMB,Low,AG-118,Service-L1,21,2025-10-20 20:51:00,2025-10-20 22:22:00,9,100,60,1,1,Resolved,0,0.338,4,3
TCK-GNPCLUVJ,ORD-CUFA807L14,C-WBJNPUG,2025-10-20 22:58:00,Account access,Phone,DE-North,B2C,Medium,AG-146,Billing,24,2025-10-20 23:38:00,2025-10-21 02:13:00,40,195,49,0,1,Resolved,1,0.115,4,3
TCK-OSWYLWTI,ORD-WJ6RZSRHF7,C-TSS3IG3,2025-10-21 01:53:00,Missing item,Chat,DE-West,SMB,Medium,AG-127,Service-L2,19,2025-10-21 02:01:00,2025-10-21 05:06:00,8,193,130,1,0,Unresolved,1,-0.447,5,2
TCK-YAZHB7H7,ORD-55FQD74WQM,C-3RWFHCZ,2025-10-21 03:58:00,Account access,Chat,DE-South,B2C,High,AG-108,Service-L1,19,2025-10-21 04:14:00,2025-10-21 06:13:00,16,135,92,0,1,Resolved,0,0.417,3,4
TCK-VJ0FDAUU,ORD-QTGHVOR6Q0,C-CRBHGNF,2025-10-21 06:58:00,Product info,Email,DE-West,B2C,Critical,AG-139,TechSupport,12,2025-10-21 07:20:00,2025-10-21 09:15:00,22,137,36,1,0,Resolved,1,0.242,5,3
TCK-GVWDSUYC,ORD-0JNE4W3SDO,C-CD3AOB1,2025-10-21 07:05:00,Product info,Chat,DE-West,B2C,Medium,AG-142,Service-L1,26,2025-10-21 07:27:00,2025-10-21 08:52:00,22,107,43,0,1,Resolved,0,0.223,3,4
TCK-PN63YKDG,ORD-JGULH5NAAT,C-BUAQWTH,2025-10-21 15:00:00,Address change,Chat,DE-East,SMB,Low,AG-150,Billing,22,2025-10-21 15:15:00,2025-10-21 16:13:00,15,73,36,0,1,Resolved,0,0.678,3,4
TCK-JOQI377F,ORD-AP0T89YJOC,C-O1LGT6X,2025-10-22 02:14:00,Product info,WhatsApp,DE-West,B2C,Critical,AG-103,Service-L2,15,2025-10-22 02:23:00,2025-10-22 04:14:00,9,120,50,1,1,Resolved,0,-0.398,4,3
TCK-F8K4F9TH,ORD-620PIW40ZC,C-QKTYVAL,2025-10-22 03:10:00,Product info,Chat,DE-East,Enterprise,High,AG-147,Service-L2,16,2025-10-22 03:23:00,2025-10-22 04:16:00,13,66,18,0,0,Partially resolved,0,0.196,3,3
TCK-1AVQQ4OR,ORD-6PRS3Y0OBY,C-T11EHC3,2025-10-22 06:26:00,Account access,Email,DE-West,B2C,Medium,AG-127,Billing,21,2025-10-22 06:45:00,2025-10-22 09:29:00,19,183,40,1,0,Unresolved,0,0.717,5,3
TCK-COS4YUOU,ORD-J424FY1S66,C-03X5EZZ,2025-10-22 07:23:00,Delivery instruction,Email,DE-North,B2C,Low,AG-105,Returns,20,2025-10-22 07:53:00,2025-10-22 10:09:00,30,166,76,0,1,Resolved,0,0.05,3,4
TCK-9THGZ7HI,ORD-FHIPIXIJPG,C-BDAYBR6,2025-10-22 10:18:00,Damaged item,Phone,DE-South,B2C,Medium,AG-123,TechSupport,13,2025-10-22 10:35:00,2025-10-22 12:11:00,17,113,47,0,0,Unresolved,0,-0.248,4,3
TCK-E6BVPZPD,ORD-S32MI02H59,C-PNZ7HKL,2025-10-22 14:05:00,Billing dispute,Phone,DE-West,B2C,Low,AG-153,Service-L1,15,2025-10-22 14:24:00,2025-10-22 16:41:00,19,156,97,1,1,Resolved,0,-0.404,4,3
TCK-5T6DJ32I,ORD-UP0OL1ZNZJ,C-SGMPDLM,2025-10-22 20:04:00,Address change,Email,DE-West,B2C,Medium,AG-127,Service-L2,19,2025-10-22 21:28:00,2025-10-22 23:07:00,84,183,79,0,1,Resolved,1,0.354,4,3
TCK-JLRQ9UHB,ORD-FM26I2PTTB,C-CYYN73K,2025-10-23 02:52:00,Return request,Web form,DE-East,B2C,High,AG-111,Returns,17,2025-10-23 03:09:00,2025-10-23 05:09:00,17,137,89,0,1,Resolved,0,0.677,3,4
TCK-Q4RNMBQ8,ORD-87DP4FCHD0,C-Z9BZ2GC,2025-10-23 03:20:00,Late status update,Phone,DE-South,B2C,Low,AG-141,Service-L2,22,2025-10-23 03:44:00,2025-10-23 04:47:00,24,87,52,1,1,Resolved,0,0.599,4,4
TCK-6ZQIUL3B,ORD-WMPT99M88S,C-UH2R17W,2025-10-23 08:03:00,Billing dispute,Email,DE-East,SMB,Low,AG-101,Service-L2,19,2025-10-23 09:01:00,2025-10-23 10:40:00,58,157,52,0,0,Resolved,0,-0.368,3,3
TCK-QX365BN3,ORD-3EFJDM2SQD,C-O9ZQR21,2025-10-23 10:48:00,Late status update,WhatsApp,DE-East,B2C,Medium,AG-121,Returns,18,2025-10-23 11:11:00,2025-10-23 13:21:00,23,153,106,0,1,Resolved,0,0.501,3,4
TCK-LEBZ0WHZ,ORD-3WIUOJF5W7,C-GJSCKTR,2025-10-23 10:54:00,Delivery instruction,Phone,AT,B2C,Medium,AG-135,Service-L1,23,2025-10-23 11:08:00,2025-10-23 13:15:00,14,141,100,0,1,Resolved,0,0.372,3,4
TCK-C0JFD45Y,ORD-KIKQFQJ89T,C-I8LMANR,2025-10-23 13:31:00,Missing item,Chat,AT,B2C,High,AG-123,Service-L1,17,2025-10-23 13:49:00,2025-10-23 15:23:00,18,112,44,0,0,Resolved,1,-0.671,4,2
TCK-S8FNABZB,ORD-HP7IAZZE75,C-73TZEXM,2025-10-23 19:12:00,Wrong item,Email,DE-North,B2C,Low,AG-112,Service-L2,16,2025-10-23 19:35:00,2025-10-23 20:46:00,23,94,56,0,1,Resolved,0,-0.013,3,3
TCK-HLIFJS31,ORD-B1WJA4EJK2,C-8644QCI,2025-10-23 22:03:00,Product info,Chat,DE-South,B2C,Low,AG-146,TechSupport,16,2025-10-23 22:27:00,2025-10-23 23:14:00,24,71,16,0,1,Resolved,0,0.116,3,4
TCK-WCFATGKE,ORD-6FY3QUL3YC,C-ZFRGRX0,2025-10-23 22:27:00,Product info,Chat,DE-North,B2C,Medium,AG-146,TechSupport,17,2025-10-23 22:39:00,2025-10-24 00:11:00,12,104,45,0,1,Resolved,0,0.283,3,4
TCK-0ZZJ47B7,ORD-PDC2YFQW9M,C-1IHFOWK,2025-10-23 23:16:00,Delivery instruction,Chat,AT,B2C,Medium,AG-141,Billing,12,2025-10-23 23:37:00,2025-10-24 00:45:00,21,89,51,0,1,Resolved,0,-0.016,3,3
TCK-3PQPM25K,ORD-ZHAY1L9ZL1,C-4F6PJNT,2025-10-24 01:22:00,Product info,Phone,DE-West,Enterprise,Low,AG-129,Service-L2,16,2025-10-24 01:29:00,2025-10-24 03:10:00,7,108,49,0,1,Resolved,0,-0.086,3,3
TCK-I6PO059R,ORD-P3PHRLJ1MW,C-KE21ZVG,2025-10-24 02:46:00,Late status update,Email,DE-West,B2C,Low,AG-103,Service-L1,20,2025-10-24 03:10:00,2025-10-24 05:33:00,24,167,18,0,1,Resolved,0,0.509,3,4
TCK-J3WH9X3U,ORD-C5GJWGQZDX,C-DRXYBG8,2025-10-24 05:10:00,Return request,WhatsApp,AT,B2C,High,AG-135,TechSupport,14,2025-10-24 05:31:00,2025-10-24 07:00:00,21,110,56,0,0,Unresolved,1,-0.261,4,2
